,Account,Month,Imputed_KWH,Imputed_Charges
289,Building_Code-B145 - Account_ID-1332,2017-10-01,3083.3546798029556,692.0828078817733
290,Building_Code-B145 - Account_ID-1332,2017-11-01,4763.618534482759,897.2386206896551
291,Building_Code-B145 - Account_ID-1332,2017-12-01,5475.841911764706,809.0517647058824
292,Building_Code-B145 - Account_ID-1332,2018-01-01,4890.29817444219,669.7130628803245
293,Building_Code-B145 - Account_ID-1332,2018-02-01,4005.0,602.0348275862068
294,Building_Code-B145 - Account_ID-1332,2018-03-01,4011.6551724137926,634.2675862068966
295,Building_Code-B145 - Account_ID-1332,2018-04-01,2754.206896551724,498.6951724137931
296,Building_Code-B145 - Account_ID-1332,2018-05-01,1623.8985801217038,371.67758620689654
297,Building_Code-B145 - Account_ID-1332,2018-06-01,1711.1359026369169,374.63793103448273
298,Building_Code-B145 - Account_ID-1332,2018-07-01,1911.9008620689654,404.61956896551726
299,Building_Code-B145 - Account_ID-1332,2018-08-01,1618.600806451613,357.47895161290324
300,Building_Code-B145 - Account_ID-1332,2018-09-01,1582.13133640553,354.98283410138254
301,Building_Code-B145 - Account_ID-1332,2018-10-01,2678.28801843318,479.88039170506914
302,Building_Code-B145 - Account_ID-1332,2018-11-01,4393.754838709678,644.6463225806451
303,Building_Code-B145 - Account_ID-1332,2018-12-01,5233.835294117647,717.4731176470589
304,Building_Code-B145 - Account_ID-1332,2019-01-01,4935.6267748478695,665.3250202839756
305,Building_Code-B145 - Account_ID-1332,2019-02-01,4356.413793103448,623.9075862068966
306,Building_Code-B7 - Account_ID-1016,2014-12-01,444941.1764705882,60149.06294117647
307,Building_Code-B7 - Account_ID-1016,2015-01-01,449709.8039215686,63307.377843137256
308,Building_Code-B7 - Account_ID-1016,2015-02-01,432570.1149425287,71562.84747126437
309,Building_Code-B7 - Account_ID-1016,2015-03-01,503077.1968854282,75402.73973303671
310,Building_Code-B7 - Account_ID-1016,2015-04-01,431446.0215053764,75952.37079569892
311,Building_Code-B7 - Account_ID-1016,2015-05-01,507462.9885057471,92828.52671264367
312,Building_Code-B7 - Account_ID-1016,2015-06-01,531160.3448275862,119398.82049568965
313,Building_Code-B7 - Account_ID-1016,2015-07-01,550053.448275862,124262.62674568966
314,Building_Code-B7 - Account_ID-1016,2015-08-01,569723.2183908046,127286.348045977
315,Building_Code-B7 - Account_ID-1016,2015-09-01,516925.0574712644,112754.3340229885
