Building_Meter,FALSE,TRUE,PCNT
205.0 - BLD 12_6269382,101,2,0.019417476
205.0 - BLD 13_7995356,98,5,0.048543689
205.0 - BLD 16_3248091,99,3,0.029411765
206.0 - BLD 02_7382886,96,7,0.067961165
207.0 - BLD 06_7695000,99,4,0.038834951
207.0 - BLD 07_3197906,94,7,0.069306931
207.0 - BLD 08_6939913,99,4,0.038834951
207.0 - BLD 09_7178840,99,4,0.038834951
207.0 - BLD 10_7574619,101,2,0.019417476
207.0 - BLD 12_7703583,96,5,0.04950495
207.0 - BLD 13_6706773,101,2,0.019417476
207.0 - BLD 13_7719136,87,3,0.033333333
208.0 - BLD 01_8184991,97,5,0.049019608
208.0 - BLD 01_8545724,57,2,0.033898305
21.0 - BLD 01_8300966,100,3,0.029126214
21.0 - BLD 02_6443527,58,1,0.016949153
21.0 - BLD 03_6443449,99,1,0.01
21.0 - BLD 04_8267457,101,2,0.019417476
21.0 - BLD 05_8267460,101,2,0.019417476
21.0 - BLD 06_8300965,101,2,0.019417476
21.0 - BLD 07_8661551,100,3,0.029126214
21.0 - BLD 08_8267558,101,2,0.019417476
21.0 - BLD 09_8096396,101,2,0.019417476
21.0 - BLD 10_8300961,101,2,0.019417476
21.0 - BLD 11_8267547,99,4,0.038834951
21.0 - BLD 12_8267555,100,3,0.029126214
21.0 - BLD 14_8267461,76,1,0.012987013
21.0 - BLD 14_8300960,76,1,0.012987013
21.0 - BLD 15_8267458,98,4,0.039215686
21.0 - BLD 16_8267556,99,4,0.038834951
21.0 - BLD 17_7833954,100,3,0.029126214
21.0 - BLD 18_8009861,101,2,0.019417476
21.0 - BLD 19_7833988,100,3,0.029126214
21.0 - BLD 20_7833963,100,3,0.029126214
21.0 - BLD 21_7833964,99,4,0.038834951
21.0 - BLD 22_7833959,101,2,0.019417476
21.0 - BLD 23_7833960,101,2,0.019417476
21.0 - BLD 24_7833966,98,5,0.048543689
21.0 - BLD 25_8009854,101,2,0.019417476
21.0 - BLD 26_7833965,101,2,0.019417476
21.0 - BLD 27_7833950,101,2,0.019417476
210.0 - BLD 02_6529272,76,2,0.025641026
210.0 - BLD 03_7573620,95,5,0.05
210.0 - BLD 04_7574699,95,8,0.077669903
210.0 - BLD 05_7117230,98,5,0.048543689
210.0 - BLD 06_6599069,100,3,0.029126214
210.0 - BLD 07_5922822,99,4,0.038834951
210.0 - BLD 08_7754296,100,1,0.00990099
210.0 - BLD 09_6653509,95,3,0.030612245
210.0 - BLD 10_8448625,98,5,0.048543689
211.0 - BLD 01_7391516,101,2,0.019417476
211.0 - BLD 08_8570389,99,4,0.038834951
211.0 - BLD 09_8009553,92,11,0.106796117
214.0 - BLD 01_8349989,97,6,0.058252427
215.0 - BLD 01_6383266,100,3,0.029126214
