account,points,anomalies
193.0 - BLD 33_8350393,103,0
194.0 - BLD 01_7719134,103,0
194.0 - BLD 02_7545126,103,3
194.0 - BLD 03_7821184,103,4
195.0 - BLD 01_7117134,103,4
196.0 - BLD 01_8809016,103,1
197.0 - BLD 01_8095565,102,3
198.0 - BLD 18_7838856,103,2
199.0 - BLD 01_8545803,103,0
2.0 - BLD 20_6477762,96,0
2.0 - BLD 21 - Community Center_6842671,95,4
20.0 - BLD 01_8362709,64,4
20.0 - BLD 02_8362706,64,3
20.0 - BLD 03_8322447,64,4
20.0 - BLD 04_8322448,64,4
20.0 - BLD 05_8362708,64,5
20.0 - BLD 06_8362686,64,3
20.0 - BLD 07_8362687,64,4
20.0 - BLD 08_8362688,64,4
20.0 - BLD 08_8362707,64,4
20.0 - BLD 08_8362733,64,4
20.0 - BLD 10_8571957,64,2
20.0 - BLD 11_8362689,64,4
20.0 - BLD 12_8362731,64,3
20.0 - BLD 13_8362732,64,3
200.0 - BLD 01_7272348,97,1
200.0 - BLD 02_7382876,97,0
200.0 - BLD 03_7719179,97,5
200.0 - BLD 04 - Community Center_8632495,97,3
201.0 - BLD 01_7719168,103,1
202.0 - BLD 01_8545890,103,3
203.0 - BLD 01_7466839,103,0
204.0 - BLD 01_6369212,101,4
204.0 - BLD 02_8747020,101,2
205.0 - BLD 01_7885252,103,0
205.0 - BLD 02_2934812,103,7
205.0 - BLD 02_8548081,103,2
205.0 - BLD 03_8510818,103,1
205.0 - BLD 03_8548055,52,0
205.0 - BLD 04_8088763,103,1
205.0 - BLD 05_2935620,52,0
205.0 - BLD 05_8505416,58,0
205.0 - BLD 05_8514570,51,0
205.0 - BLD 06_2935621,52,0
205.0 - BLD 06_8505033,58,0
205.0 - BLD 06_8548111,52,2
205.0 - BLD 07_8505069,103,1
205.0 - BLD 08_7955384,103,0
205.0 - BLD 09_8505034,103,0
205.0 - BLD 11_7953599,103,0
205.0 - BLD 12_6269382,103,1
205.0 - BLD 13_7995356,103,2
205.0 - BLD 16_3248091,102,1
206.0 - BLD 02_7382886,103,1
207.0 - BLD 06_7695000,103,4
207.0 - BLD 07_3197906,101,0
207.0 - BLD 08_6939913,103,0
207.0 - BLD 09_7178840,103,1
207.0 - BLD 10_7574619,103,0
207.0 - BLD 12_7703583,101,3
207.0 - BLD 13_6706773,103,0
207.0 - BLD 13_7719136,90,2
208.0 - BLD 01_8184991,102,10
